classification,crystallizationMethod,crystallizationTempK,densityMatthews,densityPercentSol,experimentalTechnique,macromoleculeType,pdbxDetails,phValue,publicationYear,residueCount,resolution,structureId,structureMolecularWeight
COMPLEX (MHC CLASS I/PEPTIDE),,,2.51,46,X-RAY DIFFRACTION,Protein,"20% MPD, 20% PEG 6000, 1% GLYCEROL, 100 MM SODIUM CITRATE, PH 5.6",5.6,1999,772,3.2,1A9B,89869.76
HYDROLASE,,,3.16,61,X-RAY DIFFRACTION,Protein,pH 7.0,7,,3315,2.9,1A9C,378608.5
COMPLEX (MHC I/PEPTIDE),,,2.7,54,X-RAY DIFFRACTION,,pH 6.5,6.5,,0,2.6,1A9D,44668.2
COMPLEX (MHC CLASS I/PEPTIDE),,,3.24,58,X-RAY DIFFRACTION,Protein,"4 M SODIUM FORMATE, PH 7.9",7.9,1999,386,2.5,1A9E,44934.88
DNA,,,,,SOLUTION NMR,DNA,,,1998,22,,1A9G,6577.26
DNA,,,,,SOLUTION NMR,DNA,,,1998,22,,1A9H,6577.26
DNA,,,,,SOLUTION NMR,DNA,,,1998,22,,1A9I,6601.29
DNA,,,,,SOLUTION NMR,DNA,,,1998,22,,1A9J,6601.29
COMPLEX (MHC I/PEPTIDE),,,2.48,50.45,X-RAY DIFFRACTION,,pH 6.5,6.5,,0,2.5,1A9K,89565.64
RNA,,,,,SOLUTION NMR,RNA,,,1998,38,,1A9L,12317.42
ASPARTYL PROTEASE,VAPOR DIFFUSION,,2.8,55.9,X-RAY DIFFRACTION,Protein,"THE PROTEIN SOLUTION CONTAINED 6.5 MG/ML MUTANT HIV-1 PROTEASE IN 20 MM SODIUM ACETATE, 1 MM DITHIOTHREITOL, PH 5.5, WITH A 10-FOLD MOLAR EXCESS OF INHIBITOR. THE RESERVOIR SOLUTIONS FOR THE VAPOR DIFFUSION CONTAINED 10% DIMETHYLSULFOXIDE, 30 MM B-MERCAPTOETHANOL AND 4% 2-PROPANOL IN ADDITION TO THE PRECIPITANT. THE MOST FAVORABLE CRYSTALLIZATION CONDITIONS WERE 42% SATURATED AMMONIUM SULFATE, PH 6.8., vapor diffusion",6.8,1997,198,2.3,1A9M,22366.47
RNA BINDING PROTEIN/RNA,,,2.69,42,X-RAY DIFFRACTION,Protein#RNA,"50MM NACL, 9MM MGCL2, 0.25 MM SPERMINE, 0.25% N-OCTYL-BETA-D-GLUCOPYRANOSIDE, 50MM TRIS-CL PH 7.3, 1% PEG600",7.3,1998,592,2.38,1A9N,77996.37
PENTOSYLTRANSFERASE,,,2.17,43.35,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 31-35% PEG-400 IN 100 MM TRIS BUFFER, PH 7.8-8.2; 100 MM MGCL2; 1% OCTYL-BETA- D-GLUCOPYRANOSIDE",,1998,289,2,1A9O,32160.44
PENTOSYLTRANSFERASE,,,2.17,43.35,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 31-35% PEG-400 IN 100 MM HEPES OR TRIS BUFFER, PH 7.8-8.2; 100 MM MGCL2; 1% OCTYL-BETA- D-GLUCOPYRANOSIDE",,1998,289,2.4,1A9P,32427.68
PENTOSYLTRANSFERASE,,,2.22,44.48,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 31-35% PEG-400 IN 100 MM HEPES BUFFER, PH 7.8-8.2; 100 MM MGCL2; 1% OCTYL-BETA- D-GLUCOPYRANOSIDE. CRYSTAL SOAKED IN ARTI- FICIAL MOTHER LIQUOR CONTAINING 7.3 MM INOSINE.",,1998,282,2,1A9Q,31660.97
PENTOSYLTRANSFERASE,,,2.22,44.48,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 31-35% PEG-400 IN 100 MM HEPES OR TRIS BUFFER, PH 7.8-8.2; 100 MM MGCL2; 1% OCTYL-BETA- D-GLUCOPYRANOSIDE",,1998,282,2,1A9R,31660.97
PENTOSYLTRANSFERASE,,,2.17,43.35,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 31-35% PEG-400 IN 100 MM HEPES BUFFER, PH 7.8-8.2; 100 MM MGCL2; 1% OCTYL-BETA- D-GLUCOPYRANOSIDE. CRYSTAL SOAKED IN 12.8 MM INOSINE AND 12 MM SULFATE.",,1998,289,2,1A9S,32429.76
TRANSFERASE,,,2.21,44.23,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 31-35% PEG-400 IN 100 MM HEPES OR TRIS BUFFER, PH 7.8-8.2; 100 MM MGCL2; 1% OCTYL-BETA- D-GLUCOPYRANOSIDE",,1998,284,2,1A9T,31934.21
TRANSFERASE,,,2.92,58,X-RAY DIFFRACTION,Protein,pH 7.4,7.4,1998,379,2.5,1A9U,43760.79
ALLERGEN,,,,,SOLUTION NMR,Protein,,,1998,129,,1A9V,14114.34
OXYGEN TRANSPORT,microseeding and macroseeding used to increase crystal size,,2.47,51,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 21% MME-PEG 5000, 0.2M TAPS/ KOH, PH 8.5, 2MM DITHIONITE. THEN MICROSEEDING AND MACROSEEDING USED TO INCREASE CRYSTAL SIZE, microseeding and macroseeding used to increase crystal size",8.5,1998,574,2.9,1A9W,65067.92
AMIDOTRANSFERASE,,,3.25,62,X-RAY DIFFRACTION,Protein,0.65M NET4CL 8% PEG 8000 100MM KCL 2.5MM MNCL2 2.5MM ADP 2.5MM ORNITHINE 5MM GLUTAMINE 25MM HEPES PH 7.4 THEN SOAKED INTO: 1.4M NET4CL 8% PEG 8000 250MM KCL 2.5MM MNCL2 2.5MM ADP 2.5MM ORNITHINE 5MM GLUTAMINE 25MM HEPES PH 7.4 7.5% ETHYLENE GLYCOL,7.4,1998,5808,1.8,1A9X,645639.62
EPIMERASE,,,3,59,X-RAY DIFFRACTION,Protein,"CRYSTALLIZED FROM 18% PEG8000, 500MM NACL, 20MM UDP-GLUCOSE THEN SOAKED IN 25% PEG8000, 750MM NACL, 20MM UDP-GLUCOSE, 20% ETHYLENE GLYCOL, pH 9.0",9,1998,338,1.8,1A9Y,38597.73
EPIMERASE,,,3,59,X-RAY DIFFRACTION,Protein,"CRYSTALLIZED FROM 18% PEG8000, 500MM NACL, 20MM UDP-GALACTOSE THEN SOAKED IN 25% PEG8000, 750MM NACL, 20MM UDP-GALACTOSE, 20% ETHYLENE GLYCOL, pH 9.0",9,1998,338,1.9,1A9Z,38710.89
ATTACHMENT PROTEIN,"VAPOR DIFFUSION, HANGING DROP",,2.35,35.9,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED AT 22OC USING 34% PEG400, 0.1M ZN ACETATE IN 0.1M MES BUFFER AT PH6.0 AS WELL SOLUTION BY MIXING EQUAL AMOUNT OF WELL SOLUTION AND PROTEIN SOLUTION AT 29MG/ML IN A HANGING DROP, vapor diffusion - hanging drop",6,1997,113,2.2,1AA0,11959.84
OXIDOREDUCTASE,,,2.36,40,X-RAY DIFFRACTION,Protein,"14% PEG 4000, 0.2 M NACL, 25 MM HEPES PH 7.8 10 MM MGCL2, 100 MM 3-PHOSPHOGLYCERATE, pH 7.2",7.2,1997,2392,2.2,1AA1,271251.09
CYTOSKELETON,,,2.04,39.8,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 30% PEG 8000, 100 MM SODIUM CACODYLATE, PH 6.6",6.6,1997,108,2,1AA2,12586.32
DOUBLE-STRANDED DNA BINDING DOMAIN,,,,,SOLUTION NMR,Protein,,,1997,63,,1AA3,7108.13
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0",6,1996,294,2.1,1AA4,34074.75
ANTIBIOTIC,,,2.9,57.53,X-RAY DIFFRACTION,Protein,"CRYSTALS WERE GROWN BY MIXING EQUAL VOLUMES OF A 25 MG/ML VANCOMYCIN SOLUTION AND 2.2 M NACL, 0.1 M SODIUM ACETATE, PH 4.6 (RESERVOIR BUFFER) AND THEN SUSPENDING THIS DROP OVER THE RESERVOIR. CRYSTALS WERE GROWN AT 293 K., VAPOR DIFFUSION - HANGING DROP",4.6,1997,14,0.89,1AA5,3184.53
OXIDOREDUCTASE,vapor diffusion - hanging drop in an anaerobic atmosphere,,2.77,56,X-RAY DIFFRACTION,Protein,"FDH-H WAS CRYSTALLIZED BY HANGING DROP VAPOR DIFFUSION IN AN ANAEROBIC ATMOSPHERE IN THE PRESENCE OF 1.5 M AMMONIUM SULFATE, 1% PEG 400, 20 MM SODIUM FORMATE AND 100 MM HEPES/NAOH AT PH 7.5, vapor diffusion - hanging drop in an anaerobic atmosphere",7.5,1997,715,2.3,1AA6,81394.4
MATRIX PROTEIN,,,2.5,50,X-RAY DIFFRACTION,Protein,"20% PEG 3350, 50MM NAH2PO4, PH 4.0",4,1997,316,2.08,1AA7,34804.4
OXIDASE,,,2.3,46,X-RAY DIFFRACTION,,pH 6.3,6.3,1996,0,2.5,1AA8,79041.16
PROTO-ONCOGENE,,,,,SOLUTION NMR,Protein,,,1997,171,,1AA9,19984.57
DNA-BINDING,,,,,SOLUTION NMR,Protein,,,1995,83,,1AAB,9689.12
ELECTRON TRANSPORT,,,1.95,36.81,X-RAY DIFFRACTION,Protein,,,1996,105,1.31,1AAC,11568.72
VIRAL PROTEIN,,,,,SOLUTION NMR,Protein,,,1992,55,,1AAF,6599.42
ELECTRON TRANSPORT,,,1.95,36.81,X-RAY DIFFRACTION,Protein,,,1993,105,1.8,1AAJ,11505.17
UBIQUITIN CONJUGATION,,,2.26,45.5,X-RAY DIFFRACTION,,,,1992,0,2.4,1AAK,17183.29
SERINE PROTEASE INHIBITOR,,,2.35,47.57,X-RAY DIFFRACTION,Protein,,,1992,116,1.6,1AAL,13077.95
AMINOTRANSFERASE,,,3.11,60.39,X-RAY DIFFRACTION,Protein,SUBTILISIN CRYSTALS WERE CROSS-LINKED WITH GLUTARALDEHYDE AND PLACED IN ANHYDROUS ACETONITRILE PRIOR TO DATA COLLECTION.,,1994,396,2.8,1AAM,43920.31
ELECTRON TRANSPORT,,,1.95,36.81,X-RAY DIFFRACTION,Protein,,,1993,105,2,1AAN,11568.72
PROTEINASE INHIBITOR (TRYPSIN),,,1.98,38,X-RAY DIFFRACTION,Protein,,,1990,116,1.5,1AAP,12840.29
HYDROLASE/HYDROLASE INHIBITOR,,,2.24,45,X-RAY DIFFRACTION,Protein,,,1992,198,2.5,1AAQ,22185.22
UBIQUITIN,,,1.87,34.12,X-RAY DIFFRACTION,Protein,,,1992,152,2.3,1AAR,17153.66
AMINOTRANSFERASE,,,2.51,51.02,X-RAY DIFFRACTION,Protein,,,1982,822,2.8,1AAT,91739.99
AMINOTRANSFERASE,,,3.12,60.61,X-RAY DIFFRACTION,Protein,,,1994,396,2.4,1AAW,43866.36
HYDROLASE,,,3.16,61.06,X-RAY DIFFRACTION,Protein,pH 7.5,7.5,1997,321,1.9,1AAX,38022.2
TRANSCRIPTION/DNA,"VAPOR DIFFUSION, HANGING DROP",,2.4,55.3,X-RAY DIFFRACTION,Protein#DNA,"2.5-5% PEG 400; 500-700MM NACL; 25MM BIS-TRIS PROPANE, PH 8.0, VAPOR DIFFUSION, HANGING DROP",8,1996,112,1.6,1AAY,17759.11
ELECTRON TRANSPORT,,,2.48,50.44,X-RAY DIFFRACTION,Protein,,,1992,174,2,1AAZ,20352.08
FATTY ACID BINDING PROTEIN,,,2.2,45.6,X-RAY DIFFRACTION,Protein,"2.4M AMSO4 50MM NAKPO4 100 MM ACETATE, PH 4.5",4.5,1997,131,1.9,1AB0,14500.53
PLANT SEED PROTEIN,vapor diffusion - hanging drop - microseeding,,1.77,30.37,X-RAY DIFFRACTION,Protein,"HPLC PURIFIED SI-CRAMBIN PROTEIN WAS DISSOLVED AT 25 MG/ML IN 80% ETHANOL/WATER (V/V), AND EQUILIBRATED AGAINS 60% ETHANOL. AFTER 10 DAYS, THE RESERVOIR WAS LOWERED TO 50% AND MICROSEEDED BY THE STREAK SEEDING METHOD (CAT WHISKER). AFTER LOWERING THE RESERVOIR TO 45%, GOOD CRYSTALS WERE FORMED., pH 7., vapor diffusion - hanging drop - microseeding",7,1997,46,0.89,1AB1,4774.48
TRANSFERASE(PHOSPHOTRANSFERASE),,,,,SOLUTION NMR,Protein,,,1992,109,,1AB2,12159.39
RIBOSOMAL PROTEIN,,,,,SOLUTION NMR,Protein,,,1997,88,,1AB3,10447.21
TOPOISOMERASE,,,3.07,60,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLISED FROM 8% PEG 8000, 0.02M NACL 0.1 M TRIS PH8.5.",8.5,1997,493,2.8,1AB4,55381.4
CHEMOTAXIS,,,3.15,61,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM AMMONIUM SULFATE, 2.6-3.0M IN TRIS-HCL BUFFER AT PH 7.2.",7.2,1998,250,2.4,1AB5,27269.38
CHEMOTAXIS,,293,3.15,61,X-RAY DIFFRACTION,Protein,"THE PROTEIN WAS CRYSTALLIZED WITH 3.0M AMMONIUM SULFATE, PH7.2 AT 20C., temperature 293K",7.2,1998,250,2.2,1AB6,27269.38
RIBONUCLEASE INHIBITOR,,,,,SOLUTION NMR,Protein,,,1997,89,,1AB7,10157.41
LYASE,,,3,55,X-RAY DIFFRACTION,Protein,"1.1 M AM SO4, 0.1 M PHOSPHATE, PH 5.9, 2 % DMSO, 1 MM FORSKOLIN, 10 MM DTT, 80 MM NACL, 50 MM TRIS HCL",5.9,1997,440,2.2,1AB8,49716.56
COMPLEX (SERINE PROTEASE/PEPTIDE),"VAPOR DIFFUSION, SITTING DROP",,2.29,46.28,X-RAY DIFFRACTION,Protein,"ALPHA-CHYMOTRYPSIN WAS DISSOLVED IN POTASSIUM BORATE (PH8.6) AND WAS INCUBATED AT 310K FOR 6 HOURS. SOLID AMMONIUM SULFATE WAS ADDED TO THE SOLUTION, AND THE PRECIPITATE FORMED WAS RECOVERED AND RE-DISSOLVED WITH WATER. CRYSTALLIZATION WAS DONE WITH A SITTING-DROP VAPOR-DIFFUSION PROCEDURE, IN WHICH PROTEIN SOLUTION (15MG/ML) CONTAINING 10MM CACODYLATE, 0.75% SATURATED ACETYLTRIMETHYL AMMONIUM AND 45% SATURATED AMMONIUM SULFATE WAS EQUILIBRATED AGAINST 65% SATURATED AMMONIUM SULFATE AT 293K., pH 5.6, vapor diffusion - sitting drop",5.6,1998,246,1.6,1AB9,25894.21
ELECTRON TRANSPORT,,,2.22,44.62,X-RAY DIFFRACTION,Protein,,,1992,87,1.45,1ABA,10150.73
GLYCOGEN PHOSPHORYLASE,,,2.43,49.41,X-RAY DIFFRACTION,Protein,,,1992,3312,2.8,1ABB,385743.16
BINDING PROTEIN,,,2.33,47.21,X-RAY DIFFRACTION,Protein,,,1984,306,1.7,1ABE,33551.26
BINDING PROTEIN,,,2.36,47.91,X-RAY DIFFRACTION,Protein,,,1989,306,1.9,1ABF,33579.31
PHOSPHOTRANSFERASE,,,2.42,49.11,X-RAY DIFFRACTION,,,,1990,0,1.7,1ABH,34526.53
HYDROLASE/HYDROLASE INHIBITOR,,,2.56,51.99,X-RAY DIFFRACTION,Protein,,,1992,315,2.3,1ABI,36031
HYDROLASE/HYDROLASE INHIBITOR,,,2.68,54.07,X-RAY DIFFRACTION,Protein,,,1992,295,2.4,1ABJ,34330.74
ENDONUCLEASE,,,2.93,58.09,X-RAY DIFFRACTION,,,,1992,0,2,1ABK,23947.04
OXIDOREDUCTASE,,,2.33,47.15,X-RAY DIFFRACTION,,,,1992,0,2.2,1ABM,44576.1
OXIDOREDUCTASE,,,2.38,48.31,X-RAY DIFFRACTION,Protein,,,1992,315,2.4,1ABN,36496.5
COMPLEX (KINASE/PEPTIDE),,,2.01,38.9,X-RAY DIFFRACTION,Protein,,,1994,144,2,1ABO,15987.76
BINDING PROTEINS,,,2.34,47.36,X-RAY DIFFRACTION,,,,1981,0,,1ABP,33251
KINASE,,,2.55,51.73,X-RAY DIFFRACTION,Protein,,,1994,62,2.8,1ABQ,6880.58
GLYCOSIDASE/CARBOHYDRATE,,,2.54,51.64,X-RAY DIFFRACTION,Protein,,,1995,518,2.14,1ABR,60201.99
OXYGEN STORAGE,,,3.08,60.12,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 3.6 M AMMONIUM SULFATE. CRYSTALS WER SOAKED FOR 1 HOUR IN A THOROUGHLY DEGASSED AND N2 - SATURATED CRYOPROTECTANT SOLUTION MADE BY ADDITION OF 100 MG SUCROSE, 100 MG GLUCOSE AND 8 MG NA-DITHIONATE TO 1 ML OF 70% SATURATED AMMONIUM SULFATE WITH 50 MM TRIS. HCL PH 9.0. THEN THE SOLUTION WAS EXCHANGED AGAINST A CO SATURATED ONE. DISTINCT COLOR CHANGES ACCOMPANIED THE FORMATION OF UNLIGATED MYOGLOBIN FROM MET-MB AND MBCO FROM UNLIGATED MB.",9,1994,154,1.5,1ABS,18105.72
TOXIN,,,,,SOLUTION NMR,Protein,,,1993,86,,1ABT,9523.01
ATP SYNTHESIS,,,,,SOLUTION NMR,Protein,,,1997,134,,1ABV,14676.53
OXYGEN TRANSPORT,,,2.19,43.75,X-RAY DIFFRACTION,Protein,pH 6.2,6.2,1997,575,2,1ABW,65273.25
POSTSYNAPTIC NEUROTOXIN,,,3.72,66.92,X-RAY DIFFRACTION,,,,1982,0,,1ABX,16010.56
OXYGEN TRANSPORT,,,2.69,54.24,X-RAY DIFFRACTION,Protein,pH 5.0,5,1997,575,2.6,1ABY,64816.55
DE NOVO DESIGN,,,,,SOLUTION NMR,Protein,,,1997,40,,1ABZ,4446
HYDROLASE,,,,,SOLUTION NMR,Protein,,,1997,108,,1AC0,14407
DISULFIDE OXIDOREDUCTASE,,,2.8,53.1,X-RAY DIFFRACTION,Protein,CACODYLATE PH 6.3 PEG 8K 25%,6.3,1997,378,2,1AC1,42260.07
DNA-RNA HYBRID,,,,,SOLUTION NMR,DNA#RNA,,,1997,24,,1AC3,7468.89
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 2,3,4-TRIMETHYLTHIAZOLE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,1997,294,2.1,1AC4,34203.95
CARBOXYPEPTIDASE,,,2.5,50,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 17% PEG-MME 5000, 400 MM AMMONIUM ACETATE, 5% GLYCEROL, 10 MM SODIUM AZIDE, PH 6.5.",6.5,1997,483,2.4,1AC5,54935.8
RECEPTOR,"VAPOR DIFFUSION, HANGING DROP",,2.1,42,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 5.0M SODIUM FORMATE, PH 7.7 IN HANGING DROPS AT ROOM TEMPERATURE., vapor diffusion - hanging drop",7.7,1997,220,2.3,1AC6,24208.55
DNA,,,,,SOLUTION NMR,DNA,,,1997,16,,1AC7,4912.21
OXIDOREDUCTASE,,,3.2,61,X-RAY DIFFRACTION,Protein,"20% MPD, 40 MM PHOSPHATE PH 6.0. A SINGLE CRYSTAL OF W191G WAS SOAKED IN 50MM 3,4,5-TRIMETHYLTHIAZOLE IN 40% MPD AND 60 MM PHOSPHATE AT PH 4.5.",6,1997,294,2.1,1AC8,34203.95
DNA,,,,,SOLUTION NMR,DNA,,,1997,20,,1AC9,6065.99
ACYL-COENZYME A BINDING PROTEIN,,,,,SOLUTION NMR,Protein,,,1993,86,,1ACA,10955.25
HYDROLASE/HYDROLASE INHIBITOR,,,2.04,39.68,X-RAY DIFFRACTION,Protein,,,1992,315,2,1ACB,33786.05
TOXIN,,277,2.3,47,X-RAY DIFFRACTION,Protein,"PROTEIN WAS CRYSTALLIZED FROM 12-18% PEG 8K AND 50 MM CITRATE, PH 6.0 AT 4 DEGREES C. CRYSTAL FORM ''2'' (NEEDLE-LIKE CRYSTALS)., temperature 277K",6,1997,735,2.1,1ACC,82849.97
FATTY ACID BINDING PROTEIN,,,3.4,64.4,X-RAY DIFFRACTION,Protein,"2.4M PHOSPHATE, PH 6.4",6.4,1997,131,2.7,1ACD,14532.53
HYDROLASE(CARBOXYLIC ESTERASE),,,4.14,70.31,X-RAY DIFFRACTION,,,,1991,0,,1ACE,59659.49
CONTRACTILE PROTEIN,,,2.11,41.74,X-RAY DIFFRACTION,Protein,,,1994,125,2,1ACF,12849.33
RIBOSOMAL PROTEIN,,,,,SOLUTION NMR,Protein,,,1996,76,,1ACI,8152.55
HYDROLASE(CARBOXYLIC ESTERASE),,,4.24,70.97,X-RAY DIFFRACTION,Protein,,,1993,537,2.8,1ACJ,60990.78
HYDROLASE(CARBOXYLIC ESTERASE),,,4.2,70.69,X-RAY DIFFRACTION,,,,1993,0,2.8,1ACK,59877.73
HYDROLASE(CARBOXYLIC ESTERASE),,,4.17,70.5,X-RAY DIFFRACTION,Protein,,,1993,537,2.8,1ACL,61051
"TRANSFERASE (CARBAMOYL-P,ASPARTATE)",,,3.28,62.48,X-RAY DIFFRACTION,Protein,,,1992,926,2.8,1ACM,103288.14
LYASE(CARBON-OXYGEN),,,2.88,57.24,X-RAY DIFFRACTION,Protein,,,1994,754,2.05,1ACO,83270.63
FATTY ACID SYNTHESIS PROTEIN,,,,,SOLUTION NMR,Protein,,,1990,77,,1ACP,8514.26
HYDROLASE (PROTEINASE),,,2.24,45.06,X-RAY DIFFRACTION,,,,1977,219,2.8,1ACT,23606.95
DISULFIDE OXIDOREDUCTASE,,,2.8,53.1,X-RAY DIFFRACTION,Protein,"CACODYLATE PH 6.3, PEG 8K 25%",6.3,1997,378,1.9,1ACV,42207.91
TOXIN,,,,,SOLUTION NMR,Protein,,,1996,29,,1ACW,3188.59
ANTIBACTERIAL PROTEIN,,,2.34,47.38,X-RAY DIFFRACTION,Protein,,,1982,108,2,1ACX,10332.12
COMPLEX(ANTIBODY/HIV-1 FRAGMENT),,,4.15,70.36,X-RAY DIFFRACTION,Protein,,,1994,460,3,1ACY,50697.83
POLYSACCHARIDE DEGRADATION,,,,,SOLUTION NMR,Protein,,,1997,108,,1ACZ,24495.74
IMMUNOGLOBULIN,,,2.4,43,X-RAY DIFFRACTION,Protein,"PEG6000/400 CACL2, BUFFERED AT PH6 WITH 40MM BIS-TRIS, pH 6.0",6,1997,866,2.5,1AD0,94026.71
TRANSFERASE,,,2.25,45.29,X-RAY DIFFRACTION,Protein,,,1997,532,2.2,1AD1,59005.33
RIBOSOMAL PROTEIN,,,2.17,43.43,X-RAY DIFFRACTION,Protein,"DROPS CONTAINING: APPR. 15 MG/ML L1 50 MM GLYCINE, INITIALLY AT PH 10 5% (V/V) METHANE PENTANEDIOL 1.2 M AMMONIUM SULFATE EQUILIBRATED AGAINST 2.4 M AMMONIUM SULFATE 7% (V/V) METHANE PENTANEDIOL",,1997,228,1.9,1AD2,25359.52
OXIDOREDUCTASE,,,2.45,50,X-RAY DIFFRACTION,Protein,pH 6.2,6.2,1997,904,2.6,1AD3,101953.73
TRANSFERASE,,,2.24,45.13,X-RAY DIFFRACTION,Protein,,,1997,532,2.4,1AD4,59401.12
TYROSINE-PROTEIN KINASE,vapor diffusion - hanging drop and seeding,292,2.98,58.67,X-RAY DIFFRACTION,Protein,"HANGING DROPS (1UL) OF 50MG/ML PROTEIN AND 10MM AMP-PNP WERE MIXED WITH EQUAL VOLUMES OF RESERVOIR BUFFER CONTAINING 150 MM CALCIUM ACETATE, 100MM CACODYLATE (PH 6.5), 7% PEG 8000 AND 16% V/V ETHYLENE GLYCOL. THE MIXED DROPS WERE THEN SEEDED AND STORED AT 19 DEGREES C., vapor diffusion - hanging drop and seeding, temperature 292K",6.5,1997,876,2.6,1AD5,101781.4
TRANSCRIPTION REGULATION,,,2.5,49,X-RAY DIFFRACTION,Protein,pH 6.0,6,1997,185,2.3,1AD6,21335.74
GAMMA-CARBOXYGLUTAMIC ACID,,,,,SOLUTION NMR,Protein,,,1997,18,,1AD7,2265.2
HYDROLASE/HYDROLASE INHIBITOR,"VAPOR DIFFUSION, HANGING DROP",,2.5,51,X-RAY DIFFRACTION,Protein,"A DROP WITH 1.62 MG/ML PROTEIN, 0.375 M NACL, 0.09 M PHOSPHATE BUFFER (PH 7.3), 0.5 MM AZIDE, 4.9 MM INHIBITOR AND 15% (W/V) PEG8000 WAS EQUILIBRATED AGAINST 30% (W/V)PEG8000 IN 0.08 M PHOSPHATE BUFFER (PH 7.3), USING A HANGING DROP SETUP., vapor diffusion - hanging drop",7.3,1997,305,2,1AD8,35827.69
IMMUNOGLOBULIN,,,2.5,45.6,X-RAY DIFFRACTION,Protein,"13-18% PEG4000/200-250MM LISO4, BUFFERED AT PH7.6 WITH 100MM TRIS",7.6,1997,876,2.8,1AD9,96039.2
HYDROLASE(ACTING IN CYCLICAMIDINES),,,3.49,64.8,X-RAY DIFFRACTION,,,,1991,0,,1ADA,40050.84
OXIDOREDUCTASE (NAD(A)-CHOH(D)),,,2.48,50.48,X-RAY DIFFRACTION,Protein,,,1994,748,2.4,1ADB,81387.17
OXIDOREDUCTASE (NAD(A)-CHOH(D)),,,2.47,50.17,X-RAY DIFFRACTION,Protein,,,1994,748,2.7,1ADC,81387.17
HYDROLASE(ACTING IN CYCLICAMIDINES),,,3.54,65.25,X-RAY DIFFRACTION,Protein,,,1993,349,2.4,1ADD,40046.85
LIGASE (SYNTHETASE),,,2.2,44.14,X-RAY DIFFRACTION,Protein,pH 7.0,7,1995,862,2,1ADE,94539.2
OXIDOREDUCTASE(NAD(A)-CHOH(D)),,,2.42,49.13,X-RAY DIFFRACTION,Protein,,,1994,374,2.9,1ADF,40651.57
OXIDOREDUCTASE(NAD(A)-CHOH(D)),,,2.42,49.16,X-RAY DIFFRACTION,Protein,,,1994,374,2.7,1ADG,40698.46
"OXIDOREDUCTASE,CHOH DONOR,NAD+ ACCEPTOR",,,2.4,48.75,X-RAY DIFFRACTION,,,,1976,374,,1ADH,40543.41
LIGASE,,,2.17,43.34,X-RAY DIFFRACTION,Protein,,,1995,862,2.5,1ADI,94539.2
COMPLEX (TRNA SYNTHETASE/PEPTIDE),,,2.4,48.83,X-RAY DIFFRACTION,Protein,pH 7.0,7,1997,1684,2.7,1ADJ,189512.58
LIPID BINDING PROTEIN,,,2.23,44.85,X-RAY DIFFRACTION,Protein,,,1994,131,1.6,1ADL,14966.23
TRANSFERASE (METHYLTRANSFERASE),,,2.57,52.11,X-RAY DIFFRACTION,,,,1994,0,2.4,1ADM,95245.59
TRANSCRIPTION REGULATION,,,,,SOLUTION NMR,Protein,,,1993,92,,1ADN,10535.39
LYASE,,,2.49,50.54,X-RAY DIFFRACTION,Protein,"RABBIT MUSCLE ALDOLASE WAS CRYSTALLIZED FROM A 42% SATURATED AMMONIUM SULFATE SOLUTION, pH 7.5",7.5,1997,1452,1.9,1ADO,157546.8
